rec.version/U/1,rec.eventID/U/1,rec.runID/U/1,rec.timeSliceID/U/1,rec.trigger_flags/U/1,rec.event_flags/U/1,rec.gtc_flags/U/1,rec.gpsSec/U/1,rec.gpsNanosec/U/1,rec.nChTot/U/1,rec.nChAvail/U/1,rec.nHitTot/U/1,rec.nHit/U/1,rec.nHitSP10/U/1,rec.nHitSP20/U/1,rec.nTankTot/U/1,rec.nTankAvail/U/1,rec.nTankHitTot/U/1,rec.nTankHit/U/1,rec.CxPE30PMT/U/1,rec.CxPE40PMT/U/1,rec.CxPE50PMT/U/1,rec.CxPE30XnCh/U/1,rec.CxPE40XnCh/U/1,rec.CxPE50XnCh/U/1,rec.angleFitStatus/U/1,rec.angleFitNdof/U/1,rec.planeFitStatus/U/1,rec.coreFitNdof/U/1,rec.coreFitStatus/U/1,rec.CxPE30/F/0.01,rec.CxPE40/F/0.01,rec.CxPE50/F/0.01,rec.CxPE30SPTime/F/0.1,rec.CxPE40SPTime/F/0.1,rec.CxPE50SPTime/F/0.1,rec.zenithAngle/F/0.0001,rec.azimuthAngle/F/0.0001,rec.dec/F/0.0001,rec.ra/F/0.0001,rec.angleFitChi2/F/0.01,rec.planeZenith/F/0.0001,rec.planeAzimuth/F/0.0001,rec.planeDec/F/0.0001,rec.planeRa/F/0.0001,rec.coreX/F/0.1,rec.coreY/F/0.1,rec.logCoreAmplitude/F/0.1,rec.showerAge/F/0.1,rec.coreFitUnc/F/0.1,rec.coreFitChi2/F/0.01,rec.logMaxPE/F/0.01,rec.logNPE/F/0.01,rec.logEnergy/F/0.01
5,60,2054,1125001,1,0,3,1100001987,631933510,822,806,208,154,81,112,230,230,97,89,260,260,260,0,0,1,0,151,0,150,0,36.6,36.6,36.6,-2.3,-2.3,-2.3,0.2427,-0.112,0.2948,2.6565,1441.03,0.2421,-0.1157,0.294,2.6558,-16.2,356.8,4.6,0,200,3473.25,1.57,2.68,0.85
5,61,2054,1125001,1,8,3,1100001987,631950559,822,819,653,610,415,530,230,230,209,209,449,449,449,143,222,318,0,597,0,596,0,185.35,185.35,185.35,16.2,16.2,16.2,0.3469,-0.7489,0.0873,2.657,5031.34,0.3434,-0.7474,0.0902000000000001,2.6549,0.700000000000003,263.3,5.3,0,0.1,32815.39,2.68,4.12,0.85
5,62,2054,1125001,1,8,3,1100001987,631980287,822,812,109,80,56,63,230,230,53,47,896,896,896,28,40,47,0,78,0,77,0,12.2,12.2,12.2,-2.3,-2.3,-2.3,0.3581,-0.2652,0.2197,2.7582,705.58,0.3447,-0.2786,0.2202,2.7437,1.7,203.1,3.6,0,148.6,480.72,1.2,2.26,0.85
5,63,2054,1125001,1,8,3,1100001987,631992686,822,817,93,59,45,54,230,230,48,37,386,386,322,8,16,29,0,59,0,58,0,32.19,32.19,12.34,0.399999999999999,0.399999999999999,8,0.455,2.3094,0.643,2.0256,553.4,0.4412,2.3019,0.6371,2.0417,13.1,301,6.2,0,200,1986.78,3.45,3.48,0.85
5,64,2054,1125001,1,0,3,1100001987,631996926,822,808,132,80,56,64,230,228,59,45,233,175,697,24,40,56,0,78,0,77,0,15.32,14.95,8,4,1.4,-0.5,0.7961,1.8037,1.0867,2.042,831.44,0.7864,1.8201,1.0727,2.0301,59.9,263.8,4,0,5.9,9310.25,2.01,2.68,0.85
5,65,2054,1125001,1,0,3,1100001987,632044958,822,813,88,56,32,38,230,229,48,35,769,769,769,15,23,27,0,53,0,52,0,6.39,6.39,6.39,5.09999999999999,5.1,5.1,0.5803,1.547,0.9115,2.4256,595.92,0.5715,1.5471,0.9027,2.425,-13.2,230.8,3.3,0,2.5,789.45,1.44,2.3,0.85
5,66,2054,1125001,1,0,3,1100001987,632213687,822,809,77,37,17,20,230,228,37,23,514,514,514,10,11,13,0,35,0,34,0,7.82,7.82,7.82,0.899999999999999,0.899999999999999,0.899999999999999,0.1318,-0.4873,0.2676,2.525,475.67,0.1259,-0.4932,0.2699,2.5193,37.5,226.1,3.4,0,10.3,1698.58,1.53,2.18,0.85
5,67,2054,1125001,1,0,3,1100001987,632269077,822,819,106,83,45,61,230,230,53,46,173,175,794,22,31,45,0,78,0,77,0,23.77,18.17,15.74,0,-1.3,2.3,0.647,2.1763,0.8159,1.8799,840.19,0.6441,2.1761,0.8141,1.8833,64.1,268.6,3.7,0,6.8,3228.39,1.77,2.63,0.85
5,68,2054,1125001,1,0,3,1100001987,632382232,822,806,103,58,9,12,230,228,47,29,799,799,799,10,10,10,0,51,0,50,0,7.72,7.72,7.72,2.4,2.4,2.4,0.7657,-1.9453,-0.3847,2.1272,987.05,0.7656,-1.931,-0.3883,2.1372,64.6,198.6,3.7,0,0.1,5327.42,2.49,2.94,0.85
5,69,2054,1125001,1,0,3,1100001987,632462692,822,809,113,71,34,54,230,230,49,39,418,435,808,26,35,40,0,68,0,67,0,53.01,5.33,2.3,-7.5,12,-2.3,0.3706,2.2158,0.615,2.1345,864.83,0.3517,2.1953,0.6063,2.1567,92.2,238.3,3.9,0,5.7,4250.12,1.88,2.53,0.85
5,70,2054,1125001,1,0,3,1100001987,632529998,822,819,104,75,59,65,230,230,49,39,500,500,500,41,48,53,0,71,0,70,0,4.79,4.79,4.79,7.2,7.2,7.2,0.1472,1.1909,0.4676,2.4653,616.7,0.137,1.2964,0.463,2.4457,14.1,221.7,3.2,0,1.5,189.52,1.08,2.23,0.85
5,71,2054,1125001,1,0,3,1100001987,632695780,822,814,86,56,30,43,230,230,38,31,456,406,406,3,19,29,0,54,0,53,0,17.45,4.87,4.87,-2,1.9,1.9,0.3483,1.6382,0.6788,2.3748,644.65,0.3481,1.5916,0.6795,2.3952,50.1,262.2,3.7,0,200,1062.47,1.27,2.28,0.85
5,72,2054,1125001,1,0,3,1100001987,632727277,822,819,67,49,15,20,230,230,33,29,632,632,518,1,3,11,0,48,0,47,0,24.78,24.78,23.68,-34.2,-34.2,11.1,0.5065,2.2024,0.7139,2.0156,825.96,0.5053,2.1947,0.7158,2.0201,41.1,249.2,2.9,0,200,2162.9,3.54,3.56,0.85
5,73,2054,1125001,1,0,3,1100001987,632734442,822,810,96,68,40,45,230,229,49,44,837,837,837,13,15,20,0,64,0,63,0,12.37,12.37,12.37,-0.900000000000006,-0.899999999999999,-0.899999999999999,0.5996,0.9011,0.7574,2.9074,733.39,0.5816,0.9188,0.7544,2.8794,36.5,237.5,3.4,0,4.8,2330.8,1.6,2.49,0.85
5,74,2054,1125001,1,0,3,1100001987,632788013,822,817,80,44,31,31,230,230,32,21,298,298,298,20,27,32,0,45,0,44,0,17.26,17.26,17.26,31.1,31.1,31.1,0.2283,2.7419,0.4118,2.1748,504.69,0.224,2.7843,0.4015,2.1762,-11.4,205.7,4.6,0,0.2,12365.38,2.79,3.22,0.85
5,75,2054,1125001,1,8,3,1100001987,632847241,822,817,461,402,291,363,230,230,163,158,582,582,428,0,14,46,0,400,0,399,0,300.57,300.57,262.26,-2.5,-2.5,-16.1,0.7035,-2.8634,0.0803,1.7304,3451.51,0.7028,-2.8507,0.0731000000000001,1.7345,43.3,145.9,5.7,0,18.6,50453.93,2.48,3.81,0.85
5,76,2054,1125001,1,4,3,1100001987,633011761,822,808,97,55,37,40,230,230,37,27,980,980,840,15,18,23,0,54,0,53,0,11.61,11.61,4.47,3.2,3.2,-3.3,0.2469,-2.5466,0.1871,2.1968,603.05,0.2493,-2.5845,0.1933,2.1893,29.9,186,2.9,0,0.2,2520.88,1.81,2.61,0.85
5,77,2054,1125001,1,4,3,1100001987,633026060,822,818,94,65,38,44,230,230,37,32,581,495,495,27,35,38,0,65,0,64,0,17.73,9.27,9.27,0.399999999999999,11.8,11.8,0.529,-1.0175,-0.1254,2.6749,739.02,0.5327,-1.0175,-0.1286,2.6768,83.3,195.1,3.2,0,0.4,1538.27,1.45,2.43,0.85
5,78,2054,1125001,1,0,3,1100001987,633324778,822,813,108,73,28,39,230,230,48,38,288,288,288,20,37,43,0,70,0,69,0,34.57,34.57,34.57,-1.3,-1.3,-1.3,0.3249,1.285,0.641,2.5168,911.2,0.2741,1.3371,0.5971,2.4802,44.4,248.6,4.1,0,0.3,4502.5,2.47,3.02,0.85
5,79,2054,1125001,1,0,3,1100001987,633330591,822,813,208,178,105,130,230,230,98,90,846,846,846,45,67,86,0,171,0,170,0,39.63,39.63,39.63,-0.100000000000001,-0.100000000000001,-0.100000000000001,0.368,2.5352,0.5207,2.0566,1761.28,0.3763,2.5437,0.5216,2.0464,16.7,247.7,4,0,4.1,6198.05,1.7,2.86,0.85
5,80,2054,1125001,1,0,3,1100001987,633348671,822,808,106,54,25,39,230,229,47,34,265,87,87,20,23,26,0,51,0,50,0,6.16,4.13,4.13,-35.7,-0.899999999999999,-0.899999999999999,0.188,1.1391,0.5009,2.4936,620.45,0.2008,1.1271,0.5113,2.5026,37.8,301.3,2.9,0,0.7,363.64,1.13,2.2,0.85
5,81,2054,1125001,1,0,3,1100001987,633363704,822,813,90,58,15,25,230,230,35,32,505,505,841,6,10,13,0,59,0,58,0,2.39,2.39,1.92,13.2,13.2,-5.3,0.0471,-2.9733,0.3232,2.3554,939.17,0.0396,2.3555,0.3594,2.3744,38.6,248.7,3.9,0,128.8,1908.61,1.22,2.35,0.85
5,82,2054,1125001,1,0,3,1100001987,633419493,822,810,98,50,19,26,230,230,41,34,285,285,285,10,11,13,0,47,0,46,0,3.19,3.19,3.19,6.3,6.3,6.3,0.098,0.1193,0.3415,2.5075,685.5,0.1585,-2.4315,0.226,2.2812,20.8,191.4,3.4,0,0.2,274.28,1.81,2.28,0.85
5,83,2054,1125001,1,0,3,1100001987,633547843,822,808,151,118,74,99,230,229,66,61,63,63,63,42,65,77,0,115,0,114,0,42.43,42.43,42.43,-2.3,-2.3,-2.3,0.6573,-1.5257,-0.3252,2.4334,1134.87,0.6509,-1.5101,-0.3183,2.443,49.9,274.1,4.4,0,200,6043.52,3.28,3.4,0.85
